"","team","best_season","max_pctile","worst_season","min_pctile"
"1","Virginia Tech",2000,97.3,2022,29.7
"2","Boston College",2001,85.9,2022,17.8
"3","Miami",2001,99.4,2007,40.9
"4","Syracuse",2001,88.5,2008,11.3
"5","NC State",2002,89.9,2019,35.3
"6","Maryland",2003,93.2,2012,20.1
"7","Virginia",2004,91.9,2016,24
"8","Louisville",2006,96.6,2018,15.1
"9","Florida State",2013,98.6,2020,30.3
"10","Duke",2014,83.6,2001,5.3
"11","Georgia Tech",2014,84.9,2022,18.5
"12","North Carolina",2015,90.7,2002,26
"13","Notre Dame",2018,94.4,2007,21.2
"14","Clemson",2020,98.6,2001,64.2
"15","Pittsburgh",2021,87.8,2019,52.9
"16","Wake Forest",2021,85.1,2000,14.9
