"","diff","season","startDate","awayTeam","homePoints","awayPoints"
"1",52,2002,"2002-11-02T19:30:00.000Z","Maryland",7,59
"2",45,1988,"1988-10-15T00:00:00.000Z","NC State",3,48
"3",41,1989,"1989-11-18T00:00:00.000Z","Duke",0,41
"4",37,2003,"2003-08-31T00:00:00.000Z","Florida State",0,37
"5",34,2004,"2004-09-25T17:35:00.000Z","Louisville",0,34
"6",34,2025,"2025-09-02T00:00:00.000Z","TCU",14,48
"7",32,1989,"1989-11-04T00:00:00.000Z","Clemson",3,35
"8",32,1999,"1999-09-25T00:00:00.000Z","Florida State",10,42
"9",31,2002,"2002-09-15T00:00:00.000Z","Texas",21,52
"10",31,2008,"2008-11-22T17:00:00.000Z","NC State",10,41
"11",31,2016,"2016-10-08T19:30:00.000Z","Virginia Tech",3,34
"12",30,2002,"2002-11-09T17:00:00.000Z","Clemson",12,42
"13",29,2022,"2022-12-04T01:00:00.000Z","Clemson",10,39
"14",28,1988,"1988-09-10T00:00:00.000Z","Oklahoma",0,28
"15",28,2014,"2014-11-29T17:30:00.000Z","NC State",7,35
"16",27,1978,"1978-10-21T00:00:00.000Z","NC State",7,34
"17",26,1993,"1993-09-18T00:00:00.000Z","Florida State",7,33
"18",25,1999,"1999-10-30T00:00:00.000Z","Furman",3,28
"19",25,2003,"2003-10-04T17:30:00.000Z","Virginia",13,38
"20",25,2006,"2006-09-09T16:00:00.000Z","Virginia Tech",10,35
"21",24,2013,"2013-09-28T16:30:00.000Z","East Carolina",31,55
"22",23,2017,"2017-10-07T19:30:00.000Z","Notre Dame",10,33
"23",22,1998,"1998-09-26T00:00:00.000Z","Georgia Tech",21,43
"24",20,2024,"2024-09-21T16:00:00.000Z","James Madison",50,70
"25",19,2014,"2014-12-26T21:30:00.000Z","Rutgers",21,40
"26",18,1981,"1981-10-24T00:00:00.000Z","South Carolina",13,31
"27",18,2000,"2000-10-14T00:00:00.000Z","NC State",20,38
"28",18,2012,"2012-11-10T17:30:00.000Z","Georgia Tech",50,68
"29",17,1997,"1997-11-08T00:00:00.000Z","Florida State",3,20
"30",17,2002,"2002-10-12T16:00:00.000Z","NC State",17,34
"31",17,2006,"2006-10-14T16:00:00.000Z","South Florida",20,37
"32",17,2011,"2011-12-26T22:00:00.000Z","Missouri",24,41
"33",17,2014,"2014-10-04T16:30:00.000Z","Virginia Tech",17,34
"34",16,1995,"1995-11-11T00:00:00.000Z","Florida State",12,28
"35",16,1999,"1999-11-06T00:00:00.000Z","Wake Forest",3,19
"36",16,2010,"2010-11-13T20:30:00.000Z","Virginia Tech",10,26
"37",15,1987,"1987-11-21T00:00:00.000Z","Duke",10,25
"38",15,1991,"1991-11-09T00:00:00.000Z","Clemson",6,21
"39",14,1990,"1990-11-10T00:00:00.000Z","Virginia",10,24
"40",14,2000,"2000-09-30T00:00:00.000Z","Georgia Tech",28,42
"41",14,2000,"2000-10-21T00:00:00.000Z","Clemson",24,38
"42",14,2020,"2020-11-27T20:30:00.000Z","Notre Dame",17,31
"43",14,2020,"2021-01-03T01:00:00.000Z","Texas A&M",27,41
"44",13,1983,"1983-11-05T00:00:00.000Z","Clemson",3,16
"45",13,2004,"2004-12-30T18:00:00.000Z","Boston College",24,37
"46",13,2009,"2009-10-03T16:00:00.000Z","Virginia",3,16
"47",13,2022,"2022-09-24T19:30:00.000Z","Notre Dame",32,45
"48",13,2024,"2024-12-28T16:00:00.000Z","UConn",14,27
"49",12,2017,"2017-09-09T16:00:00.000Z","Louisville",35,47
"50",11,1984,"1984-11-03T00:00:00.000Z","Maryland",23,34
"51",11,1994,"1994-11-05T00:00:00.000Z","Clemson",17,28
"52",11,1995,"1995-09-02T00:00:00.000Z","Syracuse",9,20
"53",10,1985,"1985-09-14T00:00:00.000Z","LSU",13,23
"54",10,1985,"1985-10-26T00:00:00.000Z","Florida State",10,20
"55",10,1987,"1987-10-03T00:00:00.000Z","Auburn",10,20
"56",10,2017,"2017-09-23T19:30:00.000Z","Duke",17,27
"57",10,2018,"2018-11-03T16:15:00.000Z","Georgia Tech",28,38
"58",10,2021,"2021-10-09T19:30:00.000Z","Florida State",25,35
"59",10,2024,"2024-10-05T16:00:00.000Z","Pittsburgh",24,34
"60",9,1979,"1979-11-10T00:00:00.000Z","Clemson",10,19
"61",9,2005,"2005-09-17T23:00:00.000Z","Wisconsin",5,14
"62",9,2016,"2016-09-03T21:30:00.000Z","Georgia",24,33
"63",8,1976,"1976-10-16T00:00:00.000Z","NC State",13,21
"64",8,1987,"1987-10-10T00:00:00.000Z","Wake Forest",14,22
"65",8,1999,"1999-10-16T00:00:00.000Z","Houston",12,20
"66",8,2002,"2002-09-28T19:30:00.000Z","Georgia Tech",13,21
"67",8,2003,"2003-11-22T18:05:00.000Z","Duke",22,30
"68",7,1982,"1982-10-30T00:00:00.000Z","Maryland",24,31
"69",7,1989,"1989-11-11T00:00:00.000Z","South Carolina",20,27
"70",7,1992,"1992-09-26T00:00:00.000Z","NC State",20,27
"71",7,2006,"2006-10-28T19:30:00.000Z","Wake Forest",17,24
"72",7,2006,"2006-11-11T17:00:00.000Z","Georgia Tech",0,7
"73",7,2016,"2016-11-25T17:00:00.000Z","NC State",21,28
"74",7,2019,"2019-11-02T23:30:00.000Z","Virginia",31,38
"75",7,2024,"2024-10-12T16:00:00.000Z","Georgia Tech",34,41
"76",6,2002,"2002-08-31T17:30:00.000Z","Miami (OH)",21,27
"77",6,2007,"2007-10-13T19:30:00.000Z","South Carolina",15,21
"78",6,2010,"2010-09-05T00:00:00.000Z","LSU",24,30
"79",6,2010,"2010-09-18T16:00:00.000Z","Georgia Tech",24,30
"80",6,2011,"2011-10-15T16:30:00.000Z","Miami",24,30
"81",6,2017,"2017-10-14T19:30:00.000Z","Virginia",14,20
"82",6,2018,"2018-11-24T17:20:00.000Z","NC State",28,34
"83",5,1979,"1979-10-13T00:00:00.000Z","Wake Forest",19,24
"84",5,1989,"1989-09-30T00:00:00.000Z","Navy",7,12
"85",5,2006,"2006-09-02T19:30:00.000Z","Rutgers",16,21
"86",5,2017,"2017-09-02T16:20:00.000Z","California",30,35
"87",5,2017,"2017-10-28T16:00:00.000Z","Miami",19,24
"88",5,2024,"2024-11-30T20:30:00.000Z","NC State",30,35
"89",4,1978,"1978-10-07T00:00:00.000Z","Miami (OH)",3,7
"90",4,1988,"1988-09-24T00:00:00.000Z","Louisville",34,38
"91",4,2010,"2010-11-20T17:00:00.000Z","NC State",25,29
"92",4,2013,"2013-10-17T23:30:00.000Z","Miami",23,27
"93",4,2022,"2022-11-19T22:30:00.000Z","Georgia Tech",17,21
"94",4,2023,"2023-10-21T22:30:00.000Z","Virginia",27,31
"95",3,1977,"1977-10-01T00:00:00.000Z","Texas Tech",7,10
"96",3,1984,"1984-09-15T00:00:00.000Z","Navy",30,33
"97",3,1987,"1987-11-07T00:00:00.000Z","Clemson",10,13
"98",3,1988,"1988-10-29T00:00:00.000Z","Maryland",38,41
"99",3,1988,"1988-11-12T00:00:00.000Z","Virginia",24,27
"100",3,1990,"1990-09-29T00:00:00.000Z","NC State",9,12
"101",3,1998,"1998-09-05T00:00:00.000Z","Miami (OH)",10,13
"102",3,1999,"1999-09-04T00:00:00.000Z","Virginia",17,20
"103",3,2004,"2004-11-06T18:00:00.000Z","Virginia Tech",24,27
"104",3,2005,"2005-11-12T17:00:00.000Z","Maryland",30,33
"105",3,2008,"2008-09-20T19:30:00.000Z","Virginia Tech",17,20
"106",3,2009,"2009-10-23T00:00:00.000Z","Florida State",27,30
"107",3,2018,"2018-10-13T23:00:00.000Z","Virginia Tech",19,22
"108",3,2019,"2019-09-21T19:30:00.000Z","App State",31,34
"109",3,2022,"2022-11-25T20:30:00.000Z","NC State",27,30
"110",2,1981,"1981-11-07T00:00:00.000Z","Clemson",8,10
"111",2,1985,"1985-11-23T00:00:00.000Z","Duke",21,23
"112",2,2003,"2003-09-06T17:30:00.000Z","Syracuse",47,49
"113",2,2003,"2003-10-18T17:30:00.000Z","Arizona State",31,33
"114",2,2007,"2007-09-15T16:00:00.000Z","Virginia",20,22
"115",2,2009,"2009-12-26T21:30:00.000Z","Pittsburgh",17,19
"116",2,2013,"2013-11-30T17:00:00.000Z","Duke",25,27
"117",2,2016,"2016-12-30T19:00:00.000Z","Stanford",23,25
"118",1,1978,"1978-09-23T00:00:00.000Z","Maryland",20,21
"119",1,1986,"1986-10-18T00:00:00.000Z","NC State",34,35
"120",1,1989,"1989-10-07T00:00:00.000Z","Wake Forest",16,17
"121",1,2001,"2001-11-10T17:00:00.000Z","Wake Forest",31,32
"122",1,2008,"2008-12-27T18:00:00.000Z","West Virginia",30,31
"123",1,2019,"2019-09-28T19:30:00.000Z","Clemson",20,21
"124",1,2022,"2022-12-29T01:00:00.000Z","Oregon",27,28
