"","side","opp","score","two_point_per_shot","two_point_rate","two_point_makes_attempts","three_point_per_shot","three_point_rate","three_point_makes_attempts","date"
"1","Offense","Kansas","W, 87-74",1.33333333333333,0.590909090909091,"26-39",0.888888888888889,0.409090909090909,"8-27",NA
"2","Offense","Michigan St.","L, 58-74",1.0625,0.581818181818182,"17-32",0.521739130434783,0.418181818181818,"4-23",NA
"3","Offense","California","L, 78-84",1.17241379310345,0.517857142857143,"17-29",1,0.482142857142857,"9-27",NA
"4","Offense","Kentucky","W, 67-64",0.909090909090909,0.6875,"20-44",0.9,0.3125,"6-20",NA
"5","Offense","Ohio St.","W, 71-70",1.11111111111111,0.571428571428571,"20-36",0.888888888888889,0.428571428571429,"8-27",NA
"6","Offense","SMU","L, 83-97",1.0625,0.533333333333333,"17-32",1.28571428571429,0.466666666666667,"12-28",NA
"7","Offense","Stanford","L, 90-95",1.33333333333333,0.709090909090909,"26-39",1.125,0.290909090909091,"6-16",NA
"8","Defense","Kansas","W, 87-74",0.848484848484849,0.568965517241379,"14-33",1.44,0.431034482758621,"12-25",2025-11-07
"9","Defense","Michigan St.","L, 58-74",1.04,0.833333333333333,"26-50",1.5,0.166666666666667,"5-10",2025-11-27
"10","Defense","California","L, 78-84",0.9375,0.551724137931034,"15-32",1.61538461538462,0.448275862068966,"14-26",2026-01-17
"11","Defense","Kentucky","W, 67-64",1.1,0.754716981132076,"22-40",0.230769230769231,0.245283018867925,"1-13",2025-12-02
"12","Defense","Ohio St.","W, 71-70",0.976744186046512,0.682539682539683,"21-43",0.6,0.317460317460317,"4-20",2025-12-20
"13","Defense","SMU","L, 83-97",1.33333333333333,0.55,"22-33",1.55555555555556,0.45,"14-27",2026-01-03
"14","Defense","Stanford","L, 90-95",1.14285714285714,0.5,"16-28",1.71428571428571,0.5,"16-28",2026-01-14
